node_id,Location,lat,lon,region,industry,type,landmass
oft_ship99,Buenos Aires,-34.6,-58.366667,S Latin America,Shipping,offtake,SouthAmerica
oft_ship100,Detroit,42.333333,-83.033333,NA East Coast,Shipping,offtake,NorthAmerica
oft_ship101,Buffalo,42.883333,-78.88333299999998,NA East Coast,Shipping,offtake,NorthAmerica
oft_ship102,London,51.5,-0.0833329999999,Western Europe,Shipping,offtake,GreatBritain
oft_ship103,Cilacap,-7.733333,109.0,South-east Asia,Shipping,offtake,Indonesia_Java
oft_ship104,Kokkola,63.85,23.016667,Nordics,Shipping,offtake,Eurasia_Africa
oft_ship105,Kotka,60.466667,26.966667,Nordics,Shipping,offtake,Eurasia_Africa
oft_ship106,Foynes,52.616667,-9.116667,Western Europe,Shipping,offtake,Ireland
oft_ship107,Kasim Terminal,-1.3,131.016667,South-east Asia,Shipping,offtake,Indonesia_Papua
oft_ship108,Hong Kong,22.266667,114.2,China & Hong Kong,Shipping,offtake,Eurasia_Africa
oft_ship109,Helsinki,60.166667,24.966667,Nordics,Shipping,offtake,Eurasia_Africa
oft_ship110,Murmansk,68.983333,33.05,Nordics,Shipping,offtake,Eurasia_Africa
oft_ship111,Rotterdam,51.9,4.483333,Western Europe,Shipping,offtake,Eurasia_Africa
oft_ship112,Oulu,65.016667,25.4,Nordics,Shipping,offtake,Eurasia_Africa
oft_ship113,Stockholm,59.333333,18.05,Nordics,Shipping,offtake,Eurasia_Africa
oft_ship114,Santos,-23.95,-46.3,S Latin America,Shipping,offtake,SouthAmerica
oft_ship115,Seattle,47.6,-122.333333,NA West Coast,Shipping,offtake,NorthAmerica
oft_ship116,Samsun,41.3,36.35,Mediterranean,Shipping,offtake,Eurasia_Africa
oft_ship117,Varna,43.183333,27.966667,Mediterranean,Shipping,offtake,Eurasia_Africa
oft_ship118,Oslo,59.898055556,10.745555556,Nordics,Shipping,offtake,Eurasia_Africa
