Index,LCOA,Latitude,Longitude,Production,Max_capacity,Electricity_Cost_Frac,X,Y,Z,cluster,capacity_share_percent
-14_-43_1000000.0,213.58,-14,-43,1000000,209.334470827,0.290634012,0.7096293710772115,-0.6617400940958805,-0.24192189559966773,17,0.8577734212397803
42_86_1000000.0,231.01,42,86,1000000,212.92665619,0.303187647,0.05183916250649638,0.7413345620328596,0.6691306063588582,18,0.8724928370931513
-7_114_1000000.0,209.12,-7,114,1000000,13.128594441,0.29514773,-0.4037048898163955,0.9067360283325738,-0.12186934340514748,19,0.05379601040018316
-8_17_1000000.0,218.18,-8,17,1000000,105.667472387,0.297032424,0.9469980638158938,0.2895263633904652,-0.13917310096006544,20,0.43298530311361605
47_-64_1000000.0,233.92,47,-64,1000000,43.983984433,0.430595797,0.29896840320886764,-0.6129760656099692,0.7313537016191705,21,0.18022971877398727
12_-70_1000000.0,191.8,12,-70,1000000,96.371595874,0.384774401,0.3345461825966353,-0.9191580824489981,0.20791169081775934,22,0.39489431996842594
11_108_1000000.0,218.77,11,108,1000000,84.304960326,0.307961083,-0.30333948182574216,0.933582929390359,0.1908089953765448,23,0.34544981512423617
55_15_1000000.0,236.98,55,15,1000000,36.907411257,0.421891173,0.5540322932223235,0.14845250554968453,0.8191520442889918,24,0.1512326006221102
23_-103_1000000.0,204.35,23,-103,1000000,405.488867953,0.273668726,-0.20706853731277144,-0.8969123736935778,0.39073112848927377,25,1.6615398895585463
17_46_1000000.0,197.97,17,46,1000000,1529.2341891190001,0.278458181,0.6643051034394714,0.6879080722173524,0.29237170472273677,26,6.266222839913942
31_102_1000000.0,236.24,31,102,1000000,102.059948692,0.311316264,-0.17821510280267094,0.8384361386092437,0.5150380749100542,27,0.4182030365817888
-6_35_1000000.0,205.94,-6,35,1000000,214.153137438,0.277023264,0.8146646436810838,0.570434324618422,-0.10452846326765347,28,0.8775184929826337
43_116_1000000.0,239.69,43,116,1000000,53.619036126,0.309487479,-0.3206043608872326,0.6573363527541678,0.6819983600624985,29,0.2197105134174883
30_85_1000000.0,195.38,30,85,1000000,259.398847113,0.259806342,0.07547908730517329,0.862729915662821,0.49999999999999994,30,1.0629182841924663
-28_-69_1000000.0,186.8,-28,-69,1000000,521.289135368,0.245292451,0.31642011840881235,-0.8243025903159147,-0.4694715627858908,31,2.1360455510897305
-11_-43_1000000.0,211.0,-11,-43,1000000,218.103618614,0.289134148,0.7179166742244495,-0.6694681293040762,-0.1908089953765448,32,0.8937060694505404
20_-12_1000000.0,196.72,20,-12,1000000,1247.678050547,0.273445591,0.9191580824489982,-0.19537308163656977,0.3420201433256687,33,5.1125123626100955
-19_128_1000000.0,201.36,-19,128,1000000,683.343087414,0.277590932,-0.5821193612012903,0.7450788053071721,-0.3255681544571567,34,2.800081303647669
-41_174_1000000.0,251.37,-41,174,1000000,10.844495589,0.366119048,-0.7505752021757451,0.0788886326340624,-0.6560590289905073,35,0.044436637913704016
52_-117_1000000.0,272.25,52,-117,1000000,43.671876221,0.317001977,-0.27950446085348224,-0.5485583912065974,0.7880107536067219,36,0.17895081746477326
-16_142_1000000.0,215.69,-16,142,1000000,22.759491515,0.287298906,-0.7574845534296303,0.5918117938954298,-0.27563735581699916,37,0.09325978098768666
-15_-72_1000000.0,193.95,-15,-72,1000000,92.70540488,0.26546059,0.29848749562898547,-0.9186500513499989,-0.25881904510252074,38,0.3798716570528627
3_36_1000000.0,199.73,3,36,1000000,531.396727291,0.279525703,0.8079082647011975,0.5869797130324322,0.052335956242943835,39,2.17746263672324
46_142_1000000.0,254.41,46,142,1000000,54.662211789,0.429271806,-0.5473982660046119,0.4276743972041041,0.7193398003386511,40,0.22398505240703234
42_-102_1000000.0,244.92,42,-102,1000000,59.94246806,0.377332924,-0.15450849718747373,-0.726905328038456,0.6691306063588582,41,0.24562154384919713
17_10_1000000.0,194.71,17,10,1000000,1471.305024543,0.27110128,0.9417763379148448,0.16606057816719963,0.29237170472273677,42,6.028851051638405
19_-98_1000000.0,209.08,19,-98,1000000,61.537352921,0.281799406,-0.1315907521815009,-0.936316853818016,0.3255681544571567,43,0.25215677829146965
45_35_1000000.0,272.73,45,35,1000000,22.58361649,0.309501186,0.5792279653395692,0.40557978767263886,0.7071067811865475,44,0.0925391117099089
18_13_1000000.0,194.84,18,13,1000000,1753.179124331,0.268051878,0.9266809993969289,0.213941166081198,0.3090169943749474,45,7.183864413646296
28_40_1000000.0,206.24,28,40,1000000,654.818776865,0.278381848,0.6763770970748588,0.5675477726922733,0.4694715627858908,46,2.683199476438512
27_70_1000000.0,216.73,27,70,1000000,115.468465444,0.296203955,0.30474217910701157,0.8372722558519102,0.4539904997395468,47,0.473146062652345
-25_16_1000000.0,200.91,-25,16,1000000,480.992967523,0.269068613,0.8711989604089548,0.2498122819751382,-0.42261826174069944,48,1.9709271087294966
33_80_1000000.0,195.38,33,80,1000000,724.871482904,0.260789243,0.14563361578661244,0.8259292775358054,0.5446390350150271,49,2.9702489484570846
