id,name,iso3,geometry,lat,lon,export,import,trans,throughput
port1012,Portocel_Brazil,BRA,POINT (-40.05809137898358 -19.83951040256184),-19.839510402561842,-40.058091378983576,3748704876.217269,401193510.6515235,741783456.7562592,4891681843.6250515
port442,Haldia Port_India,IND,POINT (88.10419444174183 22.05779060231778),22.057790602317784,88.10419444174183,3729470861.543588,3743486081.7883983,1487822.6053173568,7474444765.937304
port190,Bunbury_Australia,AUS,POINT (115.6645374720666 -33.32230004553161),-33.322300045531605,115.66453747206657,3709592291.785767,927251845.8929803,182624211.44053215,4819468349.119279
port375,Gaogang_China,CHN,POINT (119.8111008847082 32.31346733666295),32.313467336662946,119.81110088470822,3702245461.662324,2783075348.4878297,89837973.30232495,6575158783.452479
port41,Amamapare_Indonesia,IDN,POINT (136.8030902506943 -4.806828832153477),-4.806828832153477,136.80309025069434,3682007894.400565,2312377014.5419526,1008824.8997151725,5995393733.842234
port1409,Yangpu_China,CHN,POINT (109.1758946911616 19.76737579638726),19.767375796387256,109.17589469116162,3669114428.8027983,2878194687.1563406,510843547.48897463,7058152663.448113
port179,Brunsbuttel Elbahafen_Germany,DEU,POINT (9.185432327426682 53.90367488220769),53.90367488220769,9.185432327426682,3662038346.1982694,3987799665.3159,65991537.040773764,7715829548.554943
port285,Delfzijl_Netherlands,NLD,POINT (6.964153498468105 53.31497834636717),53.31497834636717,6.964153498468105,3620817415.7254734,2400698254.152201,271514968.7754911,6293030638.653165
port597,Kotka_Finland,FIN,POINT (26.92644203690835 60.46241713001803),60.46241713001803,26.926442036908348,3602617827.860044,1291524692.7711143,104848679.87987679,4998991200.511036
port326,Ensenada_Mexico,MEX,POINT (-116.6245992614381 31.84956466524401),31.849564665244007,-116.62459926143812,3584668841.650322,6211147586.0473995,240633453.33681512,10036449881.034536
port1315,Townsville_Australia,AUS,POINT (146.8364116171998 -19.25646587785041),-19.25646587785041,146.83641161719981,3569571829.53541,3794523440.569921,1054357323.0596856,8418452593.165017
