id,scenario,name,iso3,Continent_Code,vessel_type_main,throughput_factor,Fuel_tons_route,Fuel_tons_route_slow,Fuel_tons_route_future,Fuel_tons_route_slow_future
port146,SSP2-RCP8.5-Multi,Berbera_Somalia,SOM,AF,Dry bulk,3.5873425174379543,3069.613770343238,3069.613770343238,11011.75599046532,11011.75599046532
port146,SSP2-RCP8.5-Reg,Berbera_Somalia,SOM,AF,Dry bulk,2.914661479739864,3069.613770343238,3069.613770343238,8946.885014098485,8946.885014098485
port146,SSP5-RCP4.5-Multi,Berbera_Somalia,SOM,AF,Dry bulk,5.523841740379099,3069.613770343238,3069.613770343238,16956.06067146444,16956.06067146444
port146,SSP5-RCP4.5-Reg,Berbera_Somalia,SOM,AF,Dry bulk,4.523554802525022,3069.613770343238,3069.613770343238,13885.566112733093,13885.566112733093
port146,SSP5-RCP8.5-Multi,Berbera_Somalia,SOM,AF,Dry bulk,5.902493651160527,3069.613770343238,3069.613770343238,18118.37579096589,18118.37579096589
port146,SSP5-RCP8.5-Reg,Berbera_Somalia,SOM,AF,Dry bulk,4.80731157211409,3069.613770343238,3069.613770343238,14756.58980009181,14756.58980009181
port146,SSP1-RCP2.6-Multi,Berbera_Somalia,SOM,AF,General cargo,3.2374783829096128,4698.728310889472,4698.728310889472,15212.031333670064,15212.031333670064
port146,SSP1-RCP2.6-Reg,Berbera_Somalia,SOM,AF,General cargo,2.6057388958574736,4698.728310889472,4698.728310889472,12243.659120751385,12243.659120751385
port146,SSP1-RCP4.5-Multi,Berbera_Somalia,SOM,AF,General cargo,3.407832131377967,4698.728310889472,4698.728310889472,16012.477314464464,16012.477314464464
port146,SSP1-RCP4.5-Reg,Berbera_Somalia,SOM,AF,General cargo,2.739590242886021,4698.728310889472,4698.728310889472,12872.59023448511,12872.59023448511
port146,SSP2-RCP2.6-Multi,Berbera_Somalia,SOM,AF,General cargo,3.6103972308143253,4698.728310889472,4698.728310889472,16964.27568198422,16964.27568198422
port146,SSP2-RCP2.6-Reg,Berbera_Somalia,SOM,AF,General cargo,2.9197240633158374,4698.728310889472,4698.728310889472,13718.99011628737,13718.99011628737
port146,SSP2-RCP4.5-Multi,Berbera_Somalia,SOM,AF,General cargo,3.827748315549013,4698.728310889472,4698.728310889472,17985.549377229632,17985.549377229632
port146,SSP2-RCP4.5-Reg,Berbera_Somalia,SOM,AF,General cargo,3.087404657630438,4698.728310889472,4698.728310889472,14506.875671980155,14506.875671980155
port146,SSP2-RCP8.5-Multi,Berbera_Somalia,SOM,AF,General cargo,4.115864869732204,4698.728310889472,4698.728310889472,19339.330787206112,19339.330787206112
port146,SSP2-RCP8.5-Reg,Berbera_Somalia,SOM,AF,General cargo,3.3096789338149093,4698.728310889472,4698.728310889472,15551.282106270597,15551.282106270597
port146,SSP5-RCP4.5-Multi,Berbera_Somalia,SOM,AF,General cargo,5.829856996582192,4698.728310889472,4698.728310889472,27392.91411827781,27392.91411827781
port146,SSP5-RCP4.5-Reg,Berbera_Somalia,SOM,AF,General cargo,4.7108272966390645,4698.728310889472,4698.728310889472,22134.897586428888,22134.897586428888
port146,SSP5-RCP8.5-Multi,Berbera_Somalia,SOM,AF,General cargo,6.23838708047949,4698.728310889472,4698.728310889472,29312.485989336095,29312.485989336095
port146,SSP5-RCP8.5-Reg,Berbera_Somalia,SOM,AF,General cargo,5.022055204412181,4698.728310889472,4698.728310889472,23597.27296782133,23597.27296782133
port146,SSP1-RCP2.6-Multi,Berbera_Somalia,SOM,AF,RoRo,3.0283817832605546,309.2848944524739,309.2848944524739,936.6327401975353,936.6327401975353
port146,SSP1-RCP2.6-Reg,Berbera_Somalia,SOM,AF,RoRo,2.4209018157524484,309.2848944524739,309.2848944524739,748.7483625647984,748.7483625647984
port146,SSP1-RCP4.5-Multi,Berbera_Somalia,SOM,AF,RoRo,3.225440860501439,309.2848944524739,309.2848944524739,997.5801361028841,997.5801361028841
port146,SSP1-RCP4.5-Reg,Berbera_Somalia,SOM,AF,RoRo,2.575062804093967,309.2848944524739,309.2848944524739,796.4280275726941,796.4280275726941
port146,SSP2-RCP2.6-Multi,Berbera_Somalia,SOM,AF,RoRo,3.40311769916258,309.2848944524739,309.2848944524739,1052.5328983948443,1052.5328983948443
port146,SSP2-RCP2.6-Reg,Berbera_Somalia,SOM,AF,RoRo,2.7279215943939623,309.2848944524739,309.2848944524739,843.704942396761,843.704942396761
port146,SSP2-RCP4.5-Multi,Berbera_Somalia,SOM,AF,RoRo,3.6464772724799737,309.2848944524739,309.2848944524739,1127.8003383423136,1127.8003383423136
port146,SSP2-RCP4.5-Reg,Berbera_Somalia,SOM,AF,RoRo,2.916701205650458,309.2848944524739,309.2848944524739,902.0916245390054,902.0916245390054
port146,SSP2-RCP8.5-Multi,Berbera_Somalia,SOM,AF,RoRo,3.9690701952495444,309.2848944524739,309.2848944524739,1227.5734564122154,1227.5734564122154
port146,SSP2-RCP8.5-Reg,Berbera_Somalia,SOM,AF,RoRo,3.166943946153255,309.2848944524739,309.2848944524739,979.4879241229107,979.4879241229107
port146,SSP5-RCP4.5-Multi,Berbera_Somalia,SOM,AF,RoRo,5.715172503726496,309.2848944524739,309.2848944524739,1767.6165245927305,1767.6165245927305
port146,SSP5-RCP4.5-Reg,Berbera_Somalia,SOM,AF,RoRo,4.571001652744722,309.2848944524739,309.2848944524739,1413.741763711235,1413.741763711235
port146,SSP5-RCP8.5-Multi,Berbera_Somalia,SOM,AF,RoRo,6.212173404286497,309.2848944524739,309.2848944524739,1921.3313956652146,1921.3313956652146
port146,SSP5-RCP8.5-Reg,Berbera_Somalia,SOM,AF,RoRo,4.954659901155374,309.2848944524739,309.2848944524739,1532.4014645767445,1532.4014645767445
port146,SSP1-RCP2.6-Multi,Berbera_Somalia,SOM,AF,Tanker,2.633522414083056,1052.722546611293,1052.722546611293,2772.3684223114346,2772.3684223114346
port146,SSP1-RCP2.6-Reg,Berbera_Somalia,SOM,AF,Tanker,2.0900316073278127,1052.722546611293,1052.722546611293,2200.2233961642287,2200.2233961642287
port146,SSP1-RCP4.5-Multi,Berbera_Somalia,SOM,AF,Tanker,2.977746756492743,1052.722546611293,1052.722546611293,3134.741148658558,3134.741148658558
port146,SSP1-RCP4.5-Reg,Berbera_Somalia,SOM,AF,Tanker,2.3655240604368917,1052.722546611293,1052.722546611293,2490.2405129734107,2490.2405129734107
port146,SSP2-RCP2.6-Multi,Berbera_Somalia,SOM,AF,Tanker,2.9758315009311347,1052.722546611293,1052.722546611293,3132.7249159463304,3132.7249159463304
port146,SSP2-RCP2.6-Reg,Berbera_Somalia,SOM,AF,Tanker,2.3595323776144266,1052.722546611293,1052.722546611293,2483.932933374058,2483.932933374058
port146,SSP2-RCP4.5-Multi,Berbera_Somalia,SOM,AF,Tanker,3.353123680920314,1052.722546611293,1052.722546611293,3529.9089004810653,3529.9089004810653
port146,SSP2-RCP4.5-Reg,Berbera_Somalia,SOM,AF,Tanker,2.660578102162072,1052.722546611293,1052.722546611293,2800.850555166297,2800.850555166297
port146,SSP2-RCP8.5-Multi,Berbera_Somalia,SOM,AF,Tanker,3.853255175324578,1052.722546611293,1052.722546611293,4056.4086009108337,4056.4086009108337
port146,SSP2-RCP8.5-Reg,Berbera_Somalia,SOM,AF,Tanker,3.0596387137717413,1052.722546611293,1052.722546611293,3220.9506584722885,3220.9506584722885
port146,SSP5-RCP4.5-Multi,Berbera_Somalia,SOM,AF,Tanker,5.437137859818341,1052.722546611293,1052.722546611293,5723.797614064639,5723.797614064639
port146,SSP5-RCP4.5-Reg,Berbera_Somalia,SOM,AF,Tanker,4.311009840513179,1052.722546611293,1052.722546611293,4538.297257771378,4538.297257771378
port146,SSP5-RCP8.5-Multi,Berbera_Somalia,SOM,AF,Tanker,6.249374800762103,1052.722546611293,1052.722546611293,6578.857754986723,6578.857754986723
port146,SSP5-RCP8.5-Reg,Berbera_Somalia,SOM,AF,Tanker,4.958371625514213,1052.722546611293,1052.722546611293,5219.789604656499,5219.789604656499
port147,SSP1-RCP2.6-Multi,Bergen_Norway,NOR,EU,Container,1.162355315787463,70.86885548506346,70.86885548506346,82.37479089683703,82.37479089683703
port147,SSP1-RCP2.6-Reg,Bergen_Norway,NOR,EU,Container,1.1601360139899006,70.86885548506346,70.86885548506346,82.21751151846783,82.21751151846783
port147,SSP1-RCP4.5-Multi,Bergen_Norway,NOR,EU,Container,1.2113570597002423,70.86885548506346,70.86885548506346,85.84748840470786,85.84748840470786
port147,SSP1-RCP4.5-Reg,Bergen_Norway,NOR,EU,Container,1.2104429184622438,70.86885548506346,70.86885548506346,85.78270426141921,85.78270426141921
port147,SSP2-RCP2.6-Multi,Bergen_Norway,NOR,EU,Container,0.8595591435828369,70.86885548506346,70.86885548506346,60.91597272743699,60.91597272743699
port147,SSP2-RCP2.6-Reg,Bergen_Norway,NOR,EU,Container,0.862931545717692,70.86885548506346,70.86885548506346,61.154971006969554,61.154971006969554
port147,SSP2-RCP4.5-Multi,Bergen_Norway,NOR,EU,Container,0.9835756092307907,70.86885548506346,70.86885548506346,69.70487770921015,69.70487770921015
port147,SSP2-RCP4.5-Reg,Bergen_Norway,NOR,EU,Container,0.9867631041390548,70.86885548506346,70.86885548506346,69.9307718252233,69.9307718252233
port147,SSP2-RCP8.5-Multi,Bergen_Norway,NOR,EU,Container,1.1479695288106366,70.86885548506346,70.86885548506346,81.35528663853741,81.35528663853741
port147,SSP2-RCP8.5-Reg,Bergen_Norway,NOR,EU,Container,1.1509119141394664,70.86885548506346,70.86885548506346,81.56381011918761,81.56381011918761
port147,SSP5-RCP4.5-Multi,Bergen_Norway,NOR,EU,Container,1.61543388043618,70.86885548506346,70.86885548506346,114.48395021830693,114.48395021830693
port147,SSP5-RCP4.5-Reg,Bergen_Norway,NOR,EU,Container,1.6210751668348138,70.86885548506346,70.86885548506346,114.88374172884156,114.88374172884156
port147,SSP5-RCP8.5-Multi,Bergen_Norway,NOR,EU,Container,1.851512374826074,70.86885548506346,70.86885548506346,131.2145629203557,131.2145629203557
port147,SSP5-RCP8.5-Reg,Bergen_Norway,NOR,EU,Container,1.8566257911698656,70.86885548506346,70.86885548506346,131.5769448842588,131.5769448842588
port147,SSP1-RCP2.6-Multi,Bergen_Norway,NOR,EU,Dry bulk,0.7270609631190555,625.1166173732404,625.1166173732404,454.4978898891143,454.4978898891143
port147,SSP1-RCP2.6-Reg,Bergen_Norway,NOR,EU,Dry bulk,0.7280269305659393,625.1166173732404,625.1166173732404,455.1017321920029,455.1017321920029
port147,SSP1-RCP4.5-Multi,Bergen_Norway,NOR,EU,Dry bulk,0.9333893023059558,625.1166173732404,625.1166173732404,583.477163349868,583.477163349868
port147,SSP1-RCP4.5-Reg,Bergen_Norway,NOR,EU,Dry bulk,0.9352262431002755,625.1166173732404,625.1166173732404,584.625465565528,584.625465565528
port147,SSP2-RCP2.6-Multi,Bergen_Norway,NOR,EU,Dry bulk,0.6687592043048851,625.1166173732404,625.1166173732404,418.05249163228956,418.05249163228956
port147,SSP2-RCP2.6-Reg,Bergen_Norway,NOR,EU,Dry bulk,0.6702160048918779,625.1166173732404,625.1166173732404,418.96316188741787,418.96316188741787
port147,SSP2-RCP4.5-Multi,Bergen_Norway,NOR,EU,Dry bulk,0.8697583509104784,625.1166173732404,625.1166173732404,543.700398253286,543.700398253286
port147,SSP2-RCP4.5-Reg,Bergen_Norway,NOR,EU,Dry bulk,0.8717343249772376,625.1166173732404,625.1166173732404,544.9356124779158,544.9356124779158
port147,SSP2-RCP8.5-Multi,Bergen_Norway,NOR,EU,Dry bulk,1.136199080131846,625.1166173732404,625.1166173732404,710.2569256346069,710.2569256346069
port147,SSP2-RCP8.5-Reg,Bergen_Norway,NOR,EU,Dry bulk,1.1388632609043425,625.1166173732404,625.1166173732404,711.9223493071808,711.9223493071808
port147,SSP5-RCP4.5-Multi,Bergen_Norway,NOR,EU,Dry bulk,1.3789375060123388,625.1166173732404,625.1166173732404,861.9967493275255,861.9967493275255
port147,SSP5-RCP4.5-Reg,Bergen_Norway,NOR,EU,Dry bulk,1.38207240131546,625.1166173732404,625.1166173732404,863.9564244752319,863.9564244752319
port147,SSP5-RCP8.5-Multi,Bergen_Norway,NOR,EU,Dry bulk,1.789107105964777,625.1166173732404,625.1166173732404,1118.4005821991288,1118.4005821991288
port147,SSP5-RCP8.5-Reg,Bergen_Norway,NOR,EU,Dry bulk,1.7931861322840899,625.1166173732404,625.1166173732404,1120.9504493340341,1120.9504493340341
port147,SSP1-RCP2.6-Multi,Bergen_Norway,NOR,EU,General cargo,1.0484968588075936,2767.7805094646724,2767.7805094646724,2902.00917004259,2902.00917004259
port147,SSP1-RCP2.6-Reg,Bergen_Norway,NOR,EU,General cargo,1.0434547058340569,2767.7805094646724,2767.7805094646724,2888.0535973166957,2888.0535973166957
port147,SSP1-RCP4.5-Multi,Bergen_Norway,NOR,EU,General cargo,1.1347769669312582,2767.7805094646724,2767.7805094646724,3140.8135716617735,3140.8135716617735
port147,SSP1-RCP4.5-Reg,Bergen_Norway,NOR,EU,General cargo,1.1307624576505135,2767.7805094646724,2767.7805094646724,3129.7022911194636,3129.7022911194636
port147,SSP2-RCP2.6-Multi,Bergen_Norway,NOR,EU,General cargo,0.8435654988573982,2767.7805094646724,2767.7805094646724,2334.80414619435,2334.80414619435
port147,SSP2-RCP2.6-Reg,Bergen_Norway,NOR,EU,General cargo,0.8418260433590773,2767.7805094646724,2767.7805094646724,2329.989715169016,2329.989715169016
port147,SSP2-RCP4.5-Multi,Bergen_Norway,NOR,EU,General cargo,0.984906602656839,2767.7805094646724,2767.7805094646724,2726.0052984766658,2726.0052984766658
port147,SSP2-RCP4.5-Reg,Bergen_Norway,NOR,EU,General cargo,0.9831133795806404,2767.7805094646724,2767.7805094646724,2721.0420505972406,2721.0420505972406
port147,SSP2-RCP8.5-Multi,Bergen_Norway,NOR,EU,General cargo,1.1722657402514474,2767.7805094646724,2767.7805094646724,3244.574267781132,3244.574267781132
port147,SSP2-RCP8.5-Reg,Bergen_Norway,NOR,EU,General cargo,1.1704012438743407,2767.7805094646724,2767.7805094646724,3239.413751048609,3239.413751048609
port147,SSP5-RCP4.5-Multi,Bergen_Norway,NOR,EU,General cargo,1.5819952377707807,2767.7805094646724,2767.7805094646724,4378.615585167897,4378.615585167897
port147,SSP5-RCP4.5-Reg,Bergen_Norway,NOR,EU,General cargo,1.578647987407394,2767.7805094646724,2767.7805094646724,4369.351130851816,4369.351130851816
port147,SSP5-RCP8.5-Multi,Bergen_Norway,NOR,EU,General cargo,1.8615541766846606,2767.7805094646724,2767.7805094646724,5152.373367540358,5152.373367540358
port147,SSP5-RCP8.5-Reg,Bergen_Norway,NOR,EU,General cargo,1.858029193871,2767.7805094646724,2767.7805094646724,5142.616988812511,5142.616988812511
port147,SSP1-RCP2.6-Multi,Bergen_Norway,NOR,EU,RoRo,1.185817932166322,473.64354333919835,473.64354333919835,561.6550071464179,561.6550071464179
