from_id,to_id,mode,distance_km
t5,t21,ship,14935.953277840988
t5,t22,ship,716.1089956057767
t5,t23,ship,17323.77682087951
t6,t7,ship,8291.108958974335
t6,t8,ship,3861.7940191006137
t6,t9,ship,9303.297035657552
t6,t10,ship,17480.86674563664
t6,t11,ship,2474.1662473054466
t6,t12,ship,17936.191433941796
t6,t13,ship,17245.857274670645
t6,t14,ship,4365.827646577645
t6,t15,ship,12978.347779330685
t6,t16,ship,8010.955227911489
t6,t17,ship,8184.983015581303
t6,t18,ship,6952.744477881575
t6,t19,ship,10004.438090345313
t6,t20,ship,5522.208052034474
t6,t21,ship,11144.618753721505
t6,t22,ship,4969.363037154103
t6,t23,ship,13143.819884204044
t7,t8,ship,11397.942938702938
t7,t9,ship,10270.44780109561
t7,t10,ship,15871.615764767814
t7,t11,ship,10292.85292940859
t7,t12,ship,16326.940453072972
t7,t13,ship,15636.60629380182
t7,t14,ship,12184.514328680789
t7,t15,ship,10907.695945175694
t7,t16,ship,11537.409969516482
t7,t17,ship,12935.585502516604
t7,t18,ship,12189.052062339082
t7,t19,ship,10001.584912479202
t7,t20,ship,13602.227940887846
t7,t21,ship,3016.905659829207
t7,t22,ship,12788.049719257246
t7,t23,ship,11817.664155434362
t8,t9,ship,5441.503016556936
t8,t10,ship,13619.072726536027
t8,t11,ship,6252.160402090855
t8,t12,ship,14074.397414841185
t8,t13,ship,13384.063255570034
t8,t14,ship,8143.821801363054
t8,t15,ship,16690.683110518283
t8,t16,ship,11723.290559099089
t8,t17,ship,11951.825895199787
t8,t18,ship,10730.738632666977
t8,t19,ship,6142.644071244699
t8,t20,ship,3575.6118048938665
t8,t21,ship,8381.13709574895
t8,t22,ship,8747.35719193951
t8,t23,ship,9282.02586510343
t9,t10,ship,9560.690177736542
t9,t11,ship,11693.663418647786
t9,t12,ship,10016.0148660417
t9,t13,ship,9325.680706770549
t9,t14,ship,13585.324817919985
t9,t15,ship,18819.428219638605
t9,t16,ship,17164.793575656022
t9,t17,ship,17393.328911756722
t9,t18,ship,16172.24164922392
t9,t19,ship,1355.3897748530917
