Main Port Name,Country Code,Latitude,Longitude,Facilities - Liquid Bulk,node_id
Muuga-Port of Tallin,Estonia,59.500042,24.966693,Yes,156
Tai-Chung Kang,Taiwan,24.3,120.5,Yes,157
Kao-Hsiung,Taiwan,22.616667,120.25,Yes,158
Gdynia,Poland,54.533333,18.55,Yes,159
Kobenhavn,Denmark,55.7,12.616667,Yes,160
Riga,Latvia,56.95,24.1,Yes,161
Tubarao,Brazil,-20.283333,-40.25,Unknown,162
Fremantle,Australia,-32.05,115.75,Yes,163
Bahai De La Habana,Cuba,23.133333,-82.366667,Yes,164
Vladivostok,Russia,43.108888889,131.888333333,Yes,165
Melbourne,Australia,-37.833333,144.966667,Unknown,166
Newcastle,Australia,-32.916667,151.783333,Yes,167
Brisbane,Australia,-27.466667,153.033333,Yes,168
Sydney,Australia,-33.866667,151.2,Yes,169
Bahia De Sagua De Tanamo,Cuba,20.683333,-75.33333299999998,Yes,170
Antilla,Cuba,20.833333,-75.733333,Yes,171
Chi-Lung,Taiwan,25.133333,121.766667,Yes,172
Kawasaki Ko,Japan,35.5,139.766667,Unknown,173
Yokohama Ko,Japan,35.45,139.583333,Unknown,174
